City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atafu village,-8.5421,-172.5159,28.83,76,99,6.28,TK,1686528382
1,saldanha,-33.0117,17.9442,14.69,86,88,5.26,ZA,1686528493
2,ziro,27.6333,93.8333,14.97,99,99,0.21,IN,1686528493
3,olonkinbyen,70.9221,-8.7187,1.08,90,100,5.65,SJ,1686528494
4,whitehorse,60.7161,-135.0538,14.45,38,100,8.23,CA,1686528350
5,talnakh,69.4865,88.3972,8.45,55,100,5.09,RU,1686528339
6,iqaluit,63.7506,-68.5145,1.85,74,75,9.26,CA,1686528494
7,ghanzi,-21.5667,21.7833,17.68,21,1,3.73,BW,1686528495
8,bethel,41.3712,-73.414,23.26,63,0,3.09,US,1686528495
9,pointe-noire,-4.7761,11.8635,23.3,93,95,2.78,CG,1686528495
10,rabigh,22.7986,39.0349,29.73,62,31,4.48,SA,1686528495
11,alofi,-19.0595,-169.9187,24.49,78,94,6.41,NU,1686528496
12,grytviken,-54.2811,-36.5092,-3.55,84,29,5.03,GS,1686528341
13,port-aux-francais,-49.35,70.2167,5.07,92,100,18.11,TF,1686528496
14,minas de marcona,-15.2119,-75.1103,12.17,86,23,6.44,PE,1686528496
15,yellowknife,62.456,-114.3525,4.29,93,100,7.72,CA,1686528467
16,longyearbyen,78.2186,15.6401,2.91,87,75,1.03,SJ,1686528497
17,urengoy,65.9667,78.3667,8.83,70,75,5.02,RU,1686528497
18,luderitz,-26.6481,15.1594,14.9,70,51,2.68,NA,1686528497
19,island harbour,50.724,-1.2758,17.89,92,59,0.45,GB,1686528497
20,west island,-12.1568,96.8225,25.99,73,40,11.34,CC,1686528497
21,bratsk,56.1325,101.6142,9.27,64,90,3.28,RU,1686528215
22,guangyuan,32.442,105.823,23.48,66,100,1.25,CN,1686528498
23,butte,39.6499,-121.5677,30.77,37,0,4.63,US,1686528498
24,chonchi,-42.6128,-73.8092,6.18,88,71,1.93,CL,1686528498
25,benguela,-12.5763,13.4055,20.38,88,84,0.87,AO,1686528499
26,la'ie,21.6477,-157.9253,30.98,63,6,5.36,US,1686528499
27,lata,40.1629,-8.3327,17.82,92,100,0.35,PT,1686528444
28,bredasdorp,-34.5322,20.0403,13.82,86,100,7.59,ZA,1686528335
29,hamilton,39.1834,-84.5333,20.52,95,100,4.63,US,1686528484
30,anatuya,-28.4606,-62.8347,9.69,40,38,3.16,AR,1686528500
31,ilulissat,69.2167,-51.1,2.01,87,75,2.57,GL,1686528500
32,stanley,54.868,-1.6985,15.71,90,0,0.51,GB,1686528500
33,puerto ayora,-0.7393,-90.3518,26.42,89,96,4.47,EC,1686528501
34,prince rupert,54.3161,-130.3201,14.05,79,0,5.14,CA,1686528309
35,broome,42.2506,-75.833,23.33,51,97,0.7,US,1686528501
36,pandan,14.0453,124.1694,29.13,76,100,4.96,PH,1686528501
37,plattsburgh,44.6995,-73.4529,22.15,59,40,0.0,US,1686528341
38,adamstown,-25.066,-130.1015,20.87,59,23,6.96,PN,1686528502
39,tayoltita,24.0833,-105.9333,31.87,35,5,3.49,MX,1686528502
40,kuala terengganu,5.3302,103.1408,24.97,94,40,2.68,MY,1686528250
41,nova sintra,14.8667,-24.7167,21.85,84,8,10.17,CV,1686528502
42,edinburgh of the seven seas,-37.0676,-12.3116,16.24,84,51,13.24,SH,1686528503
43,arno,60.1167,18.6333,10.44,71,6,3.96,SE,1686528503
44,puerto natales,-51.7236,-72.4875,5.65,78,91,7.26,CL,1686528503
45,quellon,-43.1167,-73.6167,7.02,80,44,4.44,CL,1686528503
46,fale old settlement,-9.3852,-171.2468,28.89,77,99,6.63,TK,1686528504
47,antofagasta,-23.65,-70.4,16.6,86,96,2.71,CL,1686528247
48,waitangi,-43.9535,-176.5597,13.79,91,99,0.89,NZ,1686528504
49,blackmans bay,-43.0167,147.3167,12.07,80,100,2.64,AU,1686528504
50,margaret river,-33.95,115.0667,13.75,68,99,4.97,AU,1686528504
51,ushuaia,-54.8,-68.3,0.81,86,75,8.75,AR,1686528093
52,pestovo,58.5938,35.8024,5.8,79,21,1.09,RU,1686528505
53,papatowai,-46.5619,169.4708,10.35,78,67,4.27,NZ,1686528505
54,siedlce,52.1677,22.2901,8.99,70,22,3.35,PL,1686528501
55,tazacorte,28.629,-17.9293,22.54,84,0,3.13,ES,1686528505
56,udachny,66.4167,112.4,3.03,80,52,6.95,RU,1686528506
57,hithadhoo,-0.6,73.0833,27.93,76,61,3.41,MV,1686528506
58,isafjordur,66.0755,-23.124,7.78,82,46,6.49,IS,1686528506
59,aksu,41.1231,80.2644,26.78,22,71,1.97,CN,1686528506
60,wailua homesteads,22.0669,-159.378,28.24,75,0,6.17,US,1686528506
61,port elizabeth,-33.918,25.5701,15.17,95,20,7.2,ZA,1686528286
62,albany,42.6001,-73.9662,25.36,60,97,1.89,US,1686528507
63,mikumi,-7.4041,36.9831,18.15,88,41,1.22,TZ,1686528507
64,rongelap,11.1635,166.8941,27.7,80,93,7.76,MH,1686528507
65,brokopondo,4.75,-55.1667,26.21,81,57,2.79,SR,1686528508
66,lihue,21.9789,-159.3672,28.58,69,0,6.17,US,1686528508
67,saint-pierre,-21.3393,55.4781,21.82,68,0,2.57,RE,1686528508
68,danville,36.586,-79.395,24.68,81,100,0.45,US,1686528288
69,manokwari,-0.8667,134.0833,25.64,85,100,1.47,ID,1686528143
70,georgetown,5.4112,100.3354,27.96,83,20,0.0,MY,1686528509
71,thompson,55.7435,-97.8558,26.09,31,40,5.14,CA,1686528354
72,ahome,25.9167,-109.1833,29.97,28,16,5.17,MX,1686528509
73,buckeye,33.3703,-112.5838,33.24,21,0,4.12,US,1686528505
74,alpine,32.835,-116.7664,15.87,88,100,4.63,US,1686528510
75,anadyr,64.75,177.4833,7.28,81,40,7.0,RU,1686528510
76,tralee,52.2704,-9.7026,12.9,94,33,1.13,IE,1686528471
77,comandante fontana,-25.3345,-59.6821,12.82,42,100,3.02,AR,1686528510
78,zeya,53.75,127.2667,26.03,46,16,1.64,RU,1686528511
79,souillac,-20.5167,57.5167,22.67,85,32,3.4,MU,1686528511
80,pionerskiy,54.9508,20.2275,13.19,60,1,5.9,RU,1686528511
81,klaksvik,62.2266,-6.589,6.51,68,84,3.34,FO,1686528511
82,al 'aziziyah,32.9058,45.0616,32.39,23,0,4.93,IQ,1686528511
83,kodiak,57.79,-152.4072,9.73,66,100,4.63,US,1686528512
84,badger,64.8,-147.5333,19.17,39,75,5.14,US,1686528512
85,springbok,-29.6643,17.8865,8.44,93,59,3.11,ZA,1686528512
86,kattivakkam,13.2167,80.3167,29.48,84,88,4.96,IN,1686528512
87,ingraj bazar,25.0,88.15,27.41,67,89,3.86,IN,1686528513
88,santander jimenez,24.2167,-98.4667,32.0,62,0,7.93,MX,1686528513
89,tiksi,71.6872,128.8694,0.25,90,100,6.2,RU,1686528513
90,barra,-11.0894,-43.1417,25.7,52,31,4.31,BR,1686528513
91,petrolina,-9.3986,-40.5008,25.03,73,0,3.09,BR,1686528514
92,springs,-26.25,28.4,9.68,38,0,2.8,ZA,1686528514
93,erdenet,49.0333,104.0833,18.77,54,100,1.52,MN,1686528390
94,lazaro cardenas,17.9583,-102.2,29.28,64,1,4.52,MX,1686528514
95,lebu,-37.6167,-73.65,8.97,74,25,8.34,CL,1686528514
96,avarua,-21.2078,-159.775,27.03,78,40,2.06,CK,1686528515
97,kholmsk,47.0511,142.0569,15.73,81,78,4.35,RU,1686528515
98,umm kaddadah,13.6017,26.6876,24.69,74,97,9.02,SD,1686528515
99,ancud,-41.8697,-73.8203,7.72,83,71,3.11,CL,1686528516
100,arraial do cabo,-22.9661,-42.0278,22.44,76,1,3.66,BR,1686528516
101,punta arenas,-53.15,-70.9167,3.06,87,40,9.26,CL,1686528309
102,ta`u,-14.2336,-169.5144,27.28,80,16,6.38,AS,1686528516
103,kapuskasing,49.4169,-82.4331,9.69,76,100,1.29,CA,1686528447
